github.com/AlDanial/cloc v 2.02  T=2.35 s (137.3 files/s, 16757.6 lines/s)
---------------------------------------------------------------------------------------------------------------------
File                                                                            blank %      comment %           code
.\doc.drafts\plantuml\65-state-30.puml                                            13.33           0.00             13
.\.msvc\umba_3dp_boost.props                                                      20.00           0.00             12
.\.msvc\umba_common.props                                                         34.62          19.23             12
.\.msvc\umba_local_common_prjdirs.props                                           33.33           0.00             12
.\.msvc2019\umba_prjdefs.props                                                    18.75           6.25             12
.\_precommit.bat                                                                  20.00           0.00             12
.\doc.drafts\md-tables.txt                                                        14.29           0.00             12
.\_src\umba-md-pp\_enums\MetaTagType.txt                                           8.33           0.00             11
.\_src\umba-md-pp\enum_hash.h                                                     20.00           6.67             11
.\doc.drafts\plantuml\02-ditaa-01.puml                                             0.00           0.00             11
.\doc.drafts\plantuml\17-bnf-06.puml                                              21.43           0.00             11
.\doc.drafts\plantuml\42-state-07.puml                                            21.43           0.00             11
.\doc.drafts\plantuml\51-state-16.puml                                             8.33           0.00             11
.\doc.drafts\plantuml\55-state-20.puml                                            26.67           0.00             11
.\doc\Index.md                                                                     0.00           0.00             11
.\_src\umba-md-pp\_enums\CsvSeparator.txt                                         23.08           0.00             10
.\doc.drafts\plantuml\14-bnf-03.puml                                              23.08           0.00             10
.\doc.drafts\plantuml\16-bnf-05.puml                                              23.08           0.00             10
.\doc.drafts\plantuml\21-bnf-10.puml                                               0.00           0.00             10
.\doc.drafts\plantuml\45-state-10.puml                                            16.67           0.00             10
.\doc.drafts\plantuml\52-state-17.puml                                            28.57           0.00             10
.\_src\umba-md-pp\_enums\SnippetTagType.txt                                        0.00           0.00              9
.\_src\umba-md-pp\log.h                                                           29.41          17.65              9
.\_src\umba-md-pp\umba_md_html_utils.h                                            50.00          12.50              9
.\doc.drafts\plantuml\03-ditaa-02a.puml                                            0.00           0.00              9
.\doc.drafts\plantuml\04-ditaa-02b.puml                                            0.00           0.00              9
.\doc.drafts\plantuml\05-ditaa-02c.puml                                            0.00           0.00              9
.\doc.drafts\plantuml\24-bnf-13.puml                                               0.00           0.00              9
.\doc.drafts\plantuml\26-bnf-15.puml                                               0.00           0.00              9
.\doc.drafts\plantuml\37-state-02.puml                                            10.00           0.00              9
.\doc.drafts\plantuml\66-state-31.puml                                            10.00           0.00              9
.\_src\umba-md-pp\_enums\GraphVizTargetFormat.txt                                  0.00           0.00              8
.\_src\umba-md-pp\md\processing.h                                                 50.00           0.00              8
.\_src\umba-md-pp\md_pp_tags.h                                                    15.38          23.08              8
.\_src\umba-md-pp\rc\links.txt                                                    11.11           0.00              8
.\_src\umba-md-pp\tr\tr_get_translations_json.h                                   38.46           0.00              8
.\doc.drafts\plantuml\18-bnf-07.puml                                               0.00           0.00              8
.\doc.drafts\plantuml\36-state-01.puml                                            21.43          21.43              8
.\doc.drafts\trie.bat                                                             28.57          14.29              8
.\.msvc\umba_3dp_nlohman.props                                                    22.22           0.00              7
.\.msvc\umba_stdcpp14.props                                                       22.22           0.00              7
.\.msvc\umba_stdcpp17.props                                                       22.22           0.00              7
.\.msvc\umba_stdcpp20.props                                                       22.22           0.00              7
.\_src\umba-md-pp\_enums\ArgListValueStyle.txt                                     0.00           0.00              7
.\_src\umba-md-pp\_enums\ConditionOperators.txt                                    0.00           0.00              7
.\_src\umba-md-pp\_enums\CsvQuot.txt                                              30.00           0.00              7
.\_src\umba-md-pp\_enums\CsvTitle.txt                                              0.00           0.00              7
.\_src\umba-md-pp\_enums\MdPpTag.txt                                              12.50           0.00              7
.\doc.drafts\operartors.txt                                                       12.50           0.00              7
.\doc.drafts\plantuml\19-bnf-08.puml                                               0.00           0.00              7
.\doc.drafts\plantuml\54-state-19.puml                                             0.00           0.00              7
.\_gen-doc.bat                                                                    25.00           0.00              6
.\_src\umba-md-pp\_enums\CodeProcessingHandlerType.txt                             0.00           0.00              6
.\_src\umba-md-pp\_enums\TableCellAlignment.txt                                    0.00           0.00              6
.\_src\umba-md-pp\_enums\TargetFormat.txt                                         25.00           0.00              6
.\_src\umba-md-pp\config.h                                                        40.00          40.00              6
.\doc.drafts\boost\build_bootsrap.bat                                             14.29           0.00              6
.\doc.drafts\plantuml\34-bnf-23.puml                                               0.00           0.00              6
.\doc.drafts\plantuml\35-bnf-24.puml                                              33.33           0.00              6
.\doc.drafts\plantuml\50-state-15.puml                                            25.00           0.00              6
.\doc.drafts\plantuml\64-state-29.puml                                             0.00           0.00              6
.\doc.drafts\wsl.txt                                                               0.00           0.00              6
.\make-lang-detection-tr.bat                                                      33.33           0.00              6
.\make_translations.bat                                                           20.00          20.00              6
.\umba-md-pp-view-console-test.bat                                                 0.00          14.29              6
.\_src\umba-md-pp\_enums\BacktickProcessingState.txt                              16.67           0.00              5
.\_src\umba-md-pp\_enums\PreprocessorParsingState.txt                              0.00           0.00              5
.\_src\umba-md-pp\code-processing\_enums\PrototypeFormatStyle.txt                  0.00           0.00              5
.\_src\umba-md-pp\tr\tr.h                                                         45.45           9.09              5
.\doc.drafts\plantuml\06-ditaa-03.puml                                             0.00           0.00              5
.\.msvc2019\umba_prjdirs_vc.props                                                 33.33           0.00              4
.\_src\umba-md-pp\_enums\ListingNestedTagsMode.txt                                 0.00           0.00              4
.\_src\umba-md-pp\_enums\SnippetOptionsParsingResult.txt                           0.00           0.00              4
.\_src\umba-md-pp\_enums\TargetRenderer.txt                                       20.00           0.00              4
.\doc.drafts\boost\b2_help.bat                                                     0.00           0.00              4
